component	source_file	stored_file	sha256	provenance
errno@0.3.14	LICENSE-MIT	files/8764a597675778ddfd4e25f81b08a05dbcf089ac05662df7613fe67f150e3aa2-LICENSE-MIT	8764a597675778ddfd4e25f81b08a05dbcf089ac05662df7613fe67f150e3aa2	Exact crate/package file or exact upstream commit evidence
fancy-regex@0.19.0	LICENSE	files/3bc70e239e91272782006c638fc0452a714d384224f11f0923036b7be07cf9b5-LICENSE	3bc70e239e91272782006c638fc0452a714d384224f11f0923036b7be07cf9b5	Exact crate/package file or exact upstream commit evidence
fastrand@2.5.0	LICENSE-APACHE	files/a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2-LICENSE-APACHE	a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2	Exact crate/package file or exact upstream commit evidence
fastrand@2.5.0	LICENSE-MIT	files/23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3-LICENSE-MIT	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3	Exact crate/package file or exact upstream commit evidence
fdeflate@0.3.7	LICENSE-APACHE	files/0d542e0c8804e39aa7f37eb00da5a762149dc682d7829451287e11b938e94594-LICENSE-APACHE	0d542e0c8804e39aa7f37eb00da5a762149dc682d7829451287e11b938e94594	Exact crate/package file or exact upstream commit evidence
fdeflate@0.3.7	LICENSE-MIT	files/c77a4cf9da729987d0fe7ccd811e3bd27393914ddf3d23467c18cc22954513b3-LICENSE-MIT	c77a4cf9da729987d0fe7ccd811e3bd27393914ddf3d23467c18cc22954513b3	Exact crate/package file or exact upstream commit evidence
flate2@1.1.10	LICENSE-APACHE	files/a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2-LICENSE-APACHE	a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2	Exact crate/package file or exact upstream commit evidence
flate2@1.1.10	LICENSE-MIT	files/025436edff4cfcdde17a5811fdea78892d8482efd1abdec5a17872d07a4f2112-LICENSE-MIT	025436edff4cfcdde17a5811fdea78892d8482efd1abdec5a17872d07a4f2112	Exact crate/package file or exact upstream commit evidence
fluent-uri@0.4.1	LICENSE	files/9fa38f610a00115dd1f612bdd3559e3b381ea579538b6ff25a5899da250a5fce-LICENSE	9fa38f610a00115dd1f612bdd3559e3b381ea579538b6ff25a5899da250a5fce	Exact crate/package file or exact upstream commit evidence
foldhash@0.2.0	LICENSE	files/b1181a40b2a7b25cf66fd01481713bc1005df082c53ef73e851e55071b102744-LICENSE	b1181a40b2a7b25cf66fd01481713bc1005df082c53ef73e851e55071b102744	Exact crate/package file or exact upstream commit evidence
form_urlencoded@1.2.2	LICENSE-APACHE	files/a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2-LICENSE-APACHE	a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2	Exact crate/package file or exact upstream commit evidence
form_urlencoded@1.2.2	LICENSE-MIT	files/20c7855c364d57ea4c97889a5e8d98470a9952dade37bd9248b9a54431670e5e-LICENSE-MIT	20c7855c364d57ea4c97889a5e8d98470a9952dade37bd9248b9a54431670e5e	Exact crate/package file or exact upstream commit evidence
futures-channel@0.3.34	LICENSE-APACHE	files/275c491d6d1160553c32fd6127061d7f9606c3ea25abfad6ca3f6ed088785427-LICENSE-APACHE	275c491d6d1160553c32fd6127061d7f9606c3ea25abfad6ca3f6ed088785427	Exact crate/package file or exact upstream commit evidence
futures-channel@0.3.34	LICENSE-MIT	files/6652c868f35dfe5e8ef636810a4e576b9d663f3a17fb0f5613ad73583e1b88fd-LICENSE-MIT	6652c868f35dfe5e8ef636810a4e576b9d663f3a17fb0f5613ad73583e1b88fd	Exact crate/package file or exact upstream commit evidence
futures-core@0.3.34	LICENSE-APACHE	files/275c491d6d1160553c32fd6127061d7f9606c3ea25abfad6ca3f6ed088785427-LICENSE-APACHE	275c491d6d1160553c32fd6127061d7f9606c3ea25abfad6ca3f6ed088785427	Exact crate/package file or exact upstream commit evidence
futures-core@0.3.34	LICENSE-MIT	files/6652c868f35dfe5e8ef636810a4e576b9d663f3a17fb0f5613ad73583e1b88fd-LICENSE-MIT	6652c868f35dfe5e8ef636810a4e576b9d663f3a17fb0f5613ad73583e1b88fd	Exact crate/package file or exact upstream commit evidence
generic-array@0.14.7	LICENSE	files/c09aae9d3c77b531f56351a9947bc7446511d6b025b3255312d3e3442a9a7583-LICENSE	c09aae9d3c77b531f56351a9947bc7446511d6b025b3255312d3e3442a9a7583	Exact crate/package file or exact upstream commit evidence
getrandom@0.3.4	LICENSE-APACHE	files/aaff376532ea30a0cd5330b9502ad4a4c8bf769c539c87ffe78819d188a18ebf-LICENSE-APACHE	aaff376532ea30a0cd5330b9502ad4a4c8bf769c539c87ffe78819d188a18ebf	Exact crate/package file or exact upstream commit evidence
getrandom@0.3.4	LICENSE-MIT	files/29e9fe5074bd27e0e5d5d110394fbbcd841baee2651a3c4b4560a632702cede4-LICENSE-MIT	29e9fe5074bd27e0e5d5d110394fbbcd841baee2651a3c4b4560a632702cede4	Exact crate/package file or exact upstream commit evidence
getrandom@0.4.3	LICENSE-APACHE	files/aaff376532ea30a0cd5330b9502ad4a4c8bf769c539c87ffe78819d188a18ebf-LICENSE-APACHE	aaff376532ea30a0cd5330b9502ad4a4c8bf769c539c87ffe78819d188a18ebf	Exact crate/package file or exact upstream commit evidence
getrandom@0.4.3	LICENSE-MIT	files/523a42c25d245dde9c015f882cec7f4555aad883382a6cf19b4b7d9b2cd5419b-LICENSE-MIT	523a42c25d245dde9c015f882cec7f4555aad883382a6cf19b4b7d9b2cd5419b	Exact crate/package file or exact upstream commit evidence
glob@0.3.4	LICENSE-APACHE	files/a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2-LICENSE-APACHE	a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2	Exact crate/package file or exact upstream commit evidence
glob@0.3.4	LICENSE-MIT	files/6485b8ed310d3f0340bf1ad1f47645069ce4069dcc6bb46c7d5c6faf41de1fdb-LICENSE-MIT	6485b8ed310d3f0340bf1ad1f47645069ce4069dcc6bb46c7d5c6faf41de1fdb	Exact crate/package file or exact upstream commit evidence
http@1.5.0	LICENSE-APACHE	files/8bb1b50b0e5c9399ae33bd35fab2769010fa6c14e8860c729a52295d84896b7a-LICENSE-APACHE	8bb1b50b0e5c9399ae33bd35fab2769010fa6c14e8860c729a52295d84896b7a	Exact crate/package file or exact upstream commit evidence
http@1.5.0	LICENSE-MIT	files/dc91f8200e4b2a1f9261035d4c18c33c246911a6c0f7b543d75347e61b249cff-LICENSE-MIT	dc91f8200e4b2a1f9261035d4c18c33c246911a6c0f7b543d75347e61b249cff	Exact crate/package file or exact upstream commit evidence
httparse@1.10.1	LICENSE-APACHE	files/a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2-LICENSE-APACHE	a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2	Exact crate/package file or exact upstream commit evidence
httparse@1.10.1	LICENSE-MIT	files/391a5396cec6230bfabd4ef4eb2350eb895bc5efce377a2218f5702ed020d3e3-LICENSE-MIT	391a5396cec6230bfabd4ef4eb2350eb895bc5efce377a2218f5702ed020d3e3	Exact crate/package file or exact upstream commit evidence
hyper@1.11.1	LICENSE	files/2d01890414494742ba4a509fcec8efa40f6d8be22cbd72be7cff08d6fda4ec89-LICENSE	2d01890414494742ba4a509fcec8efa40f6d8be22cbd72be7cff08d6fda4ec89	Exact crate/package file or exact upstream commit evidence
hyper-rustls@0.27.9	LICENSE-APACHE	files/a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2-LICENSE-APACHE	a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2	Exact crate/package file or exact upstream commit evidence
hyper-rustls@0.27.9	LICENSE-ISC	files/7cfafc877eccc46c0e346ccbaa5c51bb6b894d2b818e617d970211e232785ad4-LICENSE-ISC	7cfafc877eccc46c0e346ccbaa5c51bb6b894d2b818e617d970211e232785ad4	Exact crate/package file or exact upstream commit evidence
hyper-rustls@0.27.9	LICENSE-MIT	files/709e3175b4212f7b13aa93971c9f62ff8c69ec45ad8c6532a7e0c41d7a7d6f8c-LICENSE-MIT	709e3175b4212f7b13aa93971c9f62ff8c69ec45ad8c6532a7e0c41d7a7d6f8c	Exact crate/package file or exact upstream commit evidence
hyper-util@0.1.20	LICENSE	files/9e0a97848ea543aef745c98e84fde696a9a3e0735538f6daefdd3cb1942effc1-LICENSE	9e0a97848ea543aef745c98e84fde696a9a3e0735538f6daefdd3cb1942effc1	Exact crate/package file or exact upstream commit evidence
